Drug,Review URL
Tetracycline,http://www.druglib.com/ratingsreviews/tetracycline/
Tirosint,http://www.druglib.com/ratingsreviews/tirosint/
Topamax,http://www.druglib.com/ratingsreviews/topamax/
Tramadol,http://www.druglib.com/ratingsreviews/tramadol/
Trazodone,http://www.druglib.com/ratingsreviews/trazodone/
Triaz,http://www.druglib.com/ratingsreviews/triaz/
Tri-Luma,http://www.druglib.com/ratingsreviews/tri-luma/
Tylenol,http://www.druglib.com/ratingsreviews/tylenol/
Ultracet,http://www.druglib.com/ratingsreviews/ultracet/
Ultram,http://www.druglib.com/ratingsreviews/ultram/
Vagifem,http://www.druglib.com/ratingsreviews/vagifem/
Valium,http://www.druglib.com/ratingsreviews/valium/
Valtrex,http://www.druglib.com/ratingsreviews/valtrex/
Vasotec,http://www.druglib.com/ratingsreviews/vasotec/
Viagra,http://www.druglib.com/ratingsreviews/viagra/
Vicodin,http://www.druglib.com/ratingsreviews/vicodin/
Vivelle-Dot,http://www.druglib.com/ratingsreviews/vivelle-dot/
Voltaren,http://www.druglib.com/ratingsreviews/voltaren/
Vytorin,http://www.druglib.com/ratingsreviews/vytorin/
Vyvanse,http://www.druglib.com/ratingsreviews/vyvanse/
Wellbutrin,http://www.druglib.com/ratingsreviews/wellbutrin/
Wellbutrin-Sr,http://www.druglib.com/ratingsreviews/wellbutrin-sr/
Wellbutrin-Xl,http://www.druglib.com/ratingsreviews/wellbutrin-xl/
Xanax,http://www.druglib.com/ratingsreviews/xanax/
Xenical,http://www.druglib.com/ratingsreviews/xenical/
Xyrem,http://www.druglib.com/ratingsreviews/xyrem/
Yasmin,http://www.druglib.com/ratingsreviews/yasmin/
Yaz,http://www.druglib.com/ratingsreviews/yaz/
Zantac,http://www.druglib.com/ratingsreviews/zantac/
Zegerid,http://www.druglib.com/ratingsreviews/zegerid/
Zithromax,http://www.druglib.com/ratingsreviews/zithromax/
Zmax,http://www.druglib.com/ratingsreviews/zmax/
Zocor,http://www.druglib.com/ratingsreviews/zocor/
Zofran,http://www.druglib.com/ratingsreviews/zofran/
Zoloft,http://www.druglib.com/ratingsreviews/zoloft/
Zomig,http://www.druglib.com/ratingsreviews/zomig/
Zovirax,http://www.druglib.com/ratingsreviews/zovirax/
Zyban,http://www.druglib.com/ratingsreviews/zyban/
Zyprexa,http://www.druglib.com/ratingsreviews/zyprexa/
Zyrtec,http://www.druglib.com/ratingsreviews/zyrtec/
Zyrtec-D,http://www.druglib.com/ratingsreviews/zyrtec-d/
